"Genename",Med(Ess(WT)) – Med(Ess(MT))
"PACRG",0.087780232434695
"LAMA4",0.090553934571118
"CADPS2",0.090762522728856
"EPGN",0.093582824850516
"GJA4",0.094780388107425
"SLC6A4",0.09518176175082
"RAI1",0.095795741863268
"MAGOHB",0.096893566112629
"TMEM246",0.097161962515778
"CREG1",0.100299671121362
"CLCA1",0.100385347087112
"FAM89A",0.101283684862273
"CYP2J2",0.101571895067907
"BCL11B",0.105656201434558
"TRMT13",0.107016232063079
"GLDN",0.1076314373811
"CRYGN",0.109841501842801
"HTR1A",0.110081868707604
"PTK6",0.110573856603745
"AGAP3",0.112253621061298
"AMPD3",0.112260214141776
"RAB3B",0.112392278612686
"CCT4",0.113997757575211
"ALDH1L2",0.115487069040818
"SLC39A8",0.115770188113426
"TFCP2",0.115827615645087
"ZNF474",0.123369435782826
"EOGT",0.124782152824435
"HOXB6",0.125259444927287
"TRIM47",0.125298273616416
"GCDH",0.126141630492842
"SOX21",0.126263464473949
"SLC43A1",0.12702352352474
"CYP27C1",0.127336846968887
"OSR1",0.130169956548509
"PLEKHA6",0.130666269826254
"PSEN2",0.132147187214042
"GPN3",0.133503481992344
"PDHX",0.135975804133515
"LXN",0.136274175299023
"ADPRHL2",0.136732797556576
"MYCL",0.137561614437011
"GJB3",0.140228563186625
"NADK",0.140442825603025
"DGUOK",0.140759354831683
"FAM216A",0.140947492364498
"RHOV",0.14382880074509
"ATOH8",0.144902482085694
"MYCN",0.144990335815011
"VAX2",0.148270890906125
"CHEK1",0.148695790699322
"TNFSF9",0.149396032700985
"AP2A2",0.149626820092136
"MPV17L2",0.155788919037271
"DEPDC1B",0.158201503234872
"C11orf42",0.159988964992279
"SOCS1",0.160258088161312
"AK3",0.160406519055467
"FOXG1",0.16733176363045
"GFOD1",0.168659818452938
"FBXO2",0.169065614005602
"FAM210B",0.178726498123293
"MYL1",0.179977961307402
"DMRTB1",0.180409503673676
"HNRNPDL",0.18113958849815
"CYR61",0.181198075879195
"CDR2L",0.182856186715263
"TFAP2E",0.186667690954758
"SCLY",0.188411859829877
"RIC8B",0.193995176847506
"IMP3",0.197688960602408
"FOXF2",0.202109597040891
"INPP5B",0.203627486525401
"ACYP2",0.231775296050335
"NAGK",0.234260326648209
"TMEM254",0.237814463859058
"RIMKLA",0.278999665884029
"RPL15",0.290720461681781
"ZNF254",0.366068954472095
"L3MBTL3",0.373338868338312
"ETF1",0.392869733242689
"PCGF1",0.927958811667496
